wsi/bin/probs_map.py:54: UserWarning: volatile was removed and now has no effect. Use `with torch.no_grad():` instead.
  data = Variable(data.cuda(async=True), volatile=True)
INFO:root:2019-05-04 03:19:10, flip : NONE, rotate : NONE, batch : 1/12901, Run Time : 34.21
INFO:root:2019-05-04 03:19:12, flip : NONE, rotate : NONE, batch : 2/12901, Run Time : 2.19
INFO:root:2019-05-04 03:19:13, flip : NONE, rotate : NONE, batch : 3/12901, Run Time : 0.28
INFO:root:2019-05-04 03:19:13, flip : NONE, rotate : NONE, batch : 4/12901, Run Time : 0.23
INFO:root:2019-05-04 03:19:14, flip : NONE, rotate : NONE, batch : 5/12901, Run Time : 1.21
INFO:root:2019-05-04 03:19:18, flip : NONE, rotate : NONE, batch : 6/12901, Run Time : 3.61
INFO:root:2019-05-04 03:19:18, flip : NONE, rotate : NONE, batch : 7/12901, Run Time : 0.43
INFO:root:2019-05-04 03:19:18, flip : NONE, rotate : NONE, batch : 8/12901, Run Time : 0.24
INFO:root:2019-05-04 03:19:19, flip : NONE, rotate : NONE, batch : 9/12901, Run Time : 0.45
INFO:root:2019-05-04 03:19:19, flip : NONE, rotate : NONE, batch : 10/12901, Run Time : 0.55
INFO:root:2019-05-04 03:19:21, flip : NONE, rotate : NONE, batch : 11/12901, Run Time : 1.24
INFO:root:2019-05-04 03:19:21, flip : NONE, rotate : NONE, batch : 12/12901, Run Time : 0.67
INFO:root:2019-05-04 03:19:22, flip : NONE, rotate : NONE, batch : 13/12901, Run Time : 0.32
INFO:root:2019-05-04 03:19:23, flip : NONE, rotate : NONE, batch : 14/12901, Run Time : 1.23
INFO:root:2019-05-04 03:19:23, flip : NONE, rotate : NONE, batch : 15/12901, Run Time : 0.28
INFO:root:2019-05-04 03:19:25, flip : NONE, rotate : NONE, batch : 16/12901, Run Time : 1.37
INFO:root:2019-05-04 03:19:25, flip : NONE, rotate : NONE, batch : 17/12901, Run Time : 0.63
INFO:root:2019-05-04 03:19:25, flip : NONE, rotate : NONE, batch : 18/12901, Run Time : 0.23
INFO:root:2019-05-04 03:19:26, flip : NONE, rotate : NONE, batch : 19/12901, Run Time : 0.36
INFO:root:2019-05-04 03:19:26, flip : NONE, rotate : NONE, batch : 20/12901, Run Time : 0.36
INFO:root:2019-05-04 03:19:31, flip : NONE, rotate : NONE, batch : 21/12901, Run Time : 4.77
INFO:root:2019-05-04 03:19:31, flip : NONE, rotate : NONE, batch : 22/12901, Run Time : 0.29
INFO:root:2019-05-04 03:19:31, flip : NONE, rotate : NONE, batch : 23/12901, Run Time : 0.24
INFO:root:2019-05-04 03:19:32, flip : NONE, rotate : NONE, batch : 24/12901, Run Time : 0.32
INFO:root:2019-05-04 03:19:37, flip : NONE, rotate : NONE, batch : 25/12901, Run Time : 5.03
INFO:root:2019-05-04 03:19:37, flip : NONE, rotate : NONE, batch : 26/12901, Run Time : 0.24
INFO:root:2019-05-04 03:19:37, flip : NONE, rotate : NONE, batch : 27/12901, Run Time : 0.26
INFO:root:2019-05-04 03:19:38, flip : NONE, rotate : NONE, batch : 28/12901, Run Time : 0.28
INFO:root:2019-05-04 03:19:39, flip : NONE, rotate : NONE, batch : 29/12901, Run Time : 1.81
INFO:root:2019-05-04 03:19:41, flip : NONE, rotate : NONE, batch : 30/12901, Run Time : 1.91
INFO:root:2019-05-04 03:19:42, flip : NONE, rotate : NONE, batch : 31/12901, Run Time : 0.24
INFO:root:2019-05-04 03:19:42, flip : NONE, rotate : NONE, batch : 32/12901, Run Time : 0.31
INFO:root:2019-05-04 03:19:42, flip : NONE, rotate : NONE, batch : 33/12901, Run Time : 0.30
INFO:root:2019-05-04 03:19:46, flip : NONE, rotate : NONE, batch : 34/12901, Run Time : 3.53
INFO:root:2019-05-04 03:19:46, flip : NONE, rotate : NONE, batch : 35/12901, Run Time : 0.37
INFO:root:2019-05-04 03:19:46, flip : NONE, rotate : NONE, batch : 36/12901, Run Time : 0.24
INFO:root:2019-05-04 03:19:47, flip : NONE, rotate : NONE, batch : 37/12901, Run Time : 0.29
INFO:root:2019-05-04 03:19:51, flip : NONE, rotate : NONE, batch : 38/12901, Run Time : 4.08
INFO:root:2019-05-04 03:19:51, flip : NONE, rotate : NONE, batch : 39/12901, Run Time : 0.26
INFO:root:2019-05-04 03:19:51, flip : NONE, rotate : NONE, batch : 40/12901, Run Time : 0.25
INFO:root:2019-05-04 03:19:51, flip : NONE, rotate : NONE, batch : 41/12901, Run Time : 0.31
INFO:root:2019-05-04 03:19:52, flip : NONE, rotate : NONE, batch : 42/12901, Run Time : 0.34
INFO:root:2019-05-04 03:19:55, flip : NONE, rotate : NONE, batch : 43/12901, Run Time : 2.83
INFO:root:2019-05-04 03:19:55, flip : NONE, rotate : NONE, batch : 44/12901, Run Time : 0.24
INFO:root:2019-05-04 03:19:55, flip : NONE, rotate : NONE, batch : 45/12901, Run Time : 0.25
INFO:root:2019-05-04 03:19:55, flip : NONE, rotate : NONE, batch : 46/12901, Run Time : 0.36
INFO:root:2019-05-04 03:19:59, flip : NONE, rotate : NONE, batch : 47/12901, Run Time : 3.50
INFO:root:2019-05-04 03:19:59, flip : NONE, rotate : NONE, batch : 48/12901, Run Time : 0.21
INFO:root:2019-05-04 03:19:59, flip : NONE, rotate : NONE, batch : 49/12901, Run Time : 0.25
INFO:root:2019-05-04 03:20:00, flip : NONE, rotate : NONE, batch : 50/12901, Run Time : 0.29
INFO:root:2019-05-04 03:20:00, flip : NONE, rotate : NONE, batch : 51/12901, Run Time : 0.34
INFO:root:2019-05-04 03:20:04, flip : NONE, rotate : NONE, batch : 52/12901, Run Time : 4.10
