wsi/bin/probs_map.py:54: UserWarning: volatile was removed and now has no effect. Use `with torch.no_grad():` instead.
  data = Variable(data.cuda(async=True), volatile=True)
INFO:root:2019-05-05 02:10:13, flip : NONE, rotate : NONE, batch : 1/26344, Run Time : 15.25
INFO:root:2019-05-05 02:10:13, flip : NONE, rotate : NONE, batch : 2/26344, Run Time : 0.18
INFO:root:2019-05-05 02:10:13, flip : NONE, rotate : NONE, batch : 3/26344, Run Time : 0.22
INFO:root:2019-05-05 02:10:14, flip : NONE, rotate : NONE, batch : 4/26344, Run Time : 0.28
INFO:root:2019-05-05 02:10:14, flip : NONE, rotate : NONE, batch : 5/26344, Run Time : 0.32
INFO:root:2019-05-05 02:10:14, flip : NONE, rotate : NONE, batch : 6/26344, Run Time : 0.41
INFO:root:2019-05-05 02:10:15, flip : NONE, rotate : NONE, batch : 7/26344, Run Time : 0.37
INFO:root:2019-05-05 02:10:15, flip : NONE, rotate : NONE, batch : 8/26344, Run Time : 0.36
INFO:root:2019-05-05 02:10:16, flip : NONE, rotate : NONE, batch : 9/26344, Run Time : 0.38
INFO:root:2019-05-05 02:10:16, flip : NONE, rotate : NONE, batch : 10/26344, Run Time : 0.38
INFO:root:2019-05-05 02:10:16, flip : NONE, rotate : NONE, batch : 11/26344, Run Time : 0.38
INFO:root:2019-05-05 02:10:17, flip : NONE, rotate : NONE, batch : 12/26344, Run Time : 0.42
INFO:root:2019-05-05 02:10:17, flip : NONE, rotate : NONE, batch : 13/26344, Run Time : 0.38
INFO:root:2019-05-05 02:10:18, flip : NONE, rotate : NONE, batch : 14/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:18, flip : NONE, rotate : NONE, batch : 15/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:18, flip : NONE, rotate : NONE, batch : 16/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:19, flip : NONE, rotate : NONE, batch : 17/26344, Run Time : 0.66
INFO:root:2019-05-05 02:10:21, flip : NONE, rotate : NONE, batch : 18/26344, Run Time : 2.51
INFO:root:2019-05-05 02:10:22, flip : NONE, rotate : NONE, batch : 19/26344, Run Time : 0.33
INFO:root:2019-05-05 02:10:22, flip : NONE, rotate : NONE, batch : 20/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:23, flip : NONE, rotate : NONE, batch : 21/26344, Run Time : 0.38
INFO:root:2019-05-05 02:10:23, flip : NONE, rotate : NONE, batch : 22/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:23, flip : NONE, rotate : NONE, batch : 23/26344, Run Time : 0.48
INFO:root:2019-05-05 02:10:24, flip : NONE, rotate : NONE, batch : 24/26344, Run Time : 0.51
INFO:root:2019-05-05 02:10:24, flip : NONE, rotate : NONE, batch : 25/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:25, flip : NONE, rotate : NONE, batch : 26/26344, Run Time : 0.37
INFO:root:2019-05-05 02:10:25, flip : NONE, rotate : NONE, batch : 27/26344, Run Time : 0.61
INFO:root:2019-05-05 02:10:27, flip : NONE, rotate : NONE, batch : 28/26344, Run Time : 1.31
INFO:root:2019-05-05 02:10:27, flip : NONE, rotate : NONE, batch : 29/26344, Run Time : 0.87
INFO:root:2019-05-05 02:10:28, flip : NONE, rotate : NONE, batch : 30/26344, Run Time : 0.37
INFO:root:2019-05-05 02:10:28, flip : NONE, rotate : NONE, batch : 31/26344, Run Time : 0.36
INFO:root:2019-05-05 02:10:29, flip : NONE, rotate : NONE, batch : 32/26344, Run Time : 0.40
INFO:root:2019-05-05 02:10:30, flip : NONE, rotate : NONE, batch : 33/26344, Run Time : 1.20
INFO:root:2019-05-05 02:10:32, flip : NONE, rotate : NONE, batch : 34/26344, Run Time : 2.08
INFO:root:2019-05-05 02:10:32, flip : NONE, rotate : NONE, batch : 35/26344, Run Time : 0.34
INFO:root:2019-05-05 02:10:33, flip : NONE, rotate : NONE, batch : 36/26344, Run Time : 0.40
INFO:root:2019-05-05 02:10:33, flip : NONE, rotate : NONE, batch : 37/26344, Run Time : 0.38
INFO:root:2019-05-05 02:10:33, flip : NONE, rotate : NONE, batch : 38/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:34, flip : NONE, rotate : NONE, batch : 39/26344, Run Time : 0.76
INFO:root:2019-05-05 02:10:35, flip : NONE, rotate : NONE, batch : 40/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:35, flip : NONE, rotate : NONE, batch : 41/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:35, flip : NONE, rotate : NONE, batch : 42/26344, Run Time : 0.40
INFO:root:2019-05-05 02:10:36, flip : NONE, rotate : NONE, batch : 43/26344, Run Time : 0.87
INFO:root:2019-05-05 02:10:37, flip : NONE, rotate : NONE, batch : 44/26344, Run Time : 1.15
INFO:root:2019-05-05 02:10:38, flip : NONE, rotate : NONE, batch : 45/26344, Run Time : 0.40
INFO:root:2019-05-05 02:10:38, flip : NONE, rotate : NONE, batch : 46/26344, Run Time : 0.34
INFO:root:2019-05-05 02:10:39, flip : NONE, rotate : NONE, batch : 47/26344, Run Time : 0.41
INFO:root:2019-05-05 02:10:39, flip : NONE, rotate : NONE, batch : 48/26344, Run Time : 0.70
INFO:root:2019-05-05 02:10:41, flip : NONE, rotate : NONE, batch : 49/26344, Run Time : 1.84
INFO:root:2019-05-05 02:10:41, flip : NONE, rotate : NONE, batch : 50/26344, Run Time : 0.34
INFO:root:2019-05-05 02:10:42, flip : NONE, rotate : NONE, batch : 51/26344, Run Time : 0.37
INFO:root:2019-05-05 02:10:42, flip : NONE, rotate : NONE, batch : 52/26344, Run Time : 0.42
INFO:root:2019-05-05 02:10:43, flip : NONE, rotate : NONE, batch : 53/26344, Run Time : 0.40
INFO:root:2019-05-05 02:10:44, flip : NONE, rotate : NONE, batch : 54/26344, Run Time : 0.93
INFO:root:2019-05-05 02:10:44, flip : NONE, rotate : NONE, batch : 55/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:44, flip : NONE, rotate : NONE, batch : 56/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:45, flip : NONE, rotate : NONE, batch : 57/26344, Run Time : 0.40
INFO:root:2019-05-05 02:10:45, flip : NONE, rotate : NONE, batch : 58/26344, Run Time : 0.73
INFO:root:2019-05-05 02:10:47, flip : NONE, rotate : NONE, batch : 59/26344, Run Time : 1.26
INFO:root:2019-05-05 02:10:47, flip : NONE, rotate : NONE, batch : 60/26344, Run Time : 0.38
INFO:root:2019-05-05 02:10:47, flip : NONE, rotate : NONE, batch : 61/26344, Run Time : 0.40
INFO:root:2019-05-05 02:10:48, flip : NONE, rotate : NONE, batch : 62/26344, Run Time : 0.38
INFO:root:2019-05-05 02:10:49, flip : NONE, rotate : NONE, batch : 63/26344, Run Time : 0.75
INFO:root:2019-05-05 02:10:50, flip : NONE, rotate : NONE, batch : 64/26344, Run Time : 1.48
INFO:root:2019-05-05 02:10:51, flip : NONE, rotate : NONE, batch : 65/26344, Run Time : 1.26
INFO:root:2019-05-05 02:10:52, flip : NONE, rotate : NONE, batch : 66/26344, Run Time : 0.33
INFO:root:2019-05-05 02:10:52, flip : NONE, rotate : NONE, batch : 67/26344, Run Time : 0.40
INFO:root:2019-05-05 02:10:52, flip : NONE, rotate : NONE, batch : 68/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:53, flip : NONE, rotate : NONE, batch : 69/26344, Run Time : 0.48
INFO:root:2019-05-05 02:10:53, flip : NONE, rotate : NONE, batch : 70/26344, Run Time : 0.37
INFO:root:2019-05-05 02:10:54, flip : NONE, rotate : NONE, batch : 71/26344, Run Time : 0.85
INFO:root:2019-05-05 02:10:55, flip : NONE, rotate : NONE, batch : 72/26344, Run Time : 0.40
INFO:root:2019-05-05 02:10:55, flip : NONE, rotate : NONE, batch : 73/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:56, flip : NONE, rotate : NONE, batch : 74/26344, Run Time : 1.17
INFO:root:2019-05-05 02:10:57, flip : NONE, rotate : NONE, batch : 75/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:58, flip : NONE, rotate : NONE, batch : 76/26344, Run Time : 1.02
INFO:root:2019-05-05 02:10:58, flip : NONE, rotate : NONE, batch : 77/26344, Run Time : 0.40
INFO:root:2019-05-05 02:10:58, flip : NONE, rotate : NONE, batch : 78/26344, Run Time : 0.39
INFO:root:2019-05-05 02:10:59, flip : NONE, rotate : NONE, batch : 79/26344, Run Time : 0.90
INFO:root:2019-05-05 02:11:00, flip : NONE, rotate : NONE, batch : 80/26344, Run Time : 0.38
INFO:root:2019-05-05 02:11:02, flip : NONE, rotate : NONE, batch : 81/26344, Run Time : 2.04
INFO:root:2019-05-05 02:11:02, flip : NONE, rotate : NONE, batch : 82/26344, Run Time : 0.33
INFO:root:2019-05-05 02:11:02, flip : NONE, rotate : NONE, batch : 83/26344, Run Time : 0.37
INFO:root:2019-05-05 02:11:03, flip : NONE, rotate : NONE, batch : 84/26344, Run Time : 0.43
INFO:root:2019-05-05 02:11:03, flip : NONE, rotate : NONE, batch : 85/26344, Run Time : 0.38
INFO:root:2019-05-05 02:11:04, flip : NONE, rotate : NONE, batch : 86/26344, Run Time : 0.99
INFO:root:2019-05-05 02:11:05, flip : NONE, rotate : NONE, batch : 87/26344, Run Time : 0.39
INFO:root:2019-05-05 02:11:05, flip : NONE, rotate : NONE, batch : 88/26344, Run Time : 0.40
INFO:root:2019-05-05 02:11:05, flip : NONE, rotate : NONE, batch : 89/26344, Run Time : 0.51
INFO:root:2019-05-05 02:11:06, flip : NONE, rotate : NONE, batch : 90/26344, Run Time : 0.38
INFO:root:2019-05-05 02:11:07, flip : NONE, rotate : NONE, batch : 91/26344, Run Time : 1.35
INFO:root:2019-05-05 02:11:08, flip : NONE, rotate : NONE, batch : 92/26344, Run Time : 0.38
INFO:root:2019-05-05 02:11:08, flip : NONE, rotate : NONE, batch : 93/26344, Run Time : 0.39
INFO:root:2019-05-05 02:11:08, flip : NONE, rotate : NONE, batch : 94/26344, Run Time : 0.52
INFO:root:2019-05-05 02:11:09, flip : NONE, rotate : NONE, batch : 95/26344, Run Time : 0.40
INFO:root:2019-05-05 02:11:11, flip : NONE, rotate : NONE, batch : 96/26344, Run Time : 2.28
INFO:root:2019-05-05 02:11:11, flip : NONE, rotate : NONE, batch : 97/26344, Run Time : 0.34
INFO:root:2019-05-05 02:11:12, flip : NONE, rotate : NONE, batch : 98/26344, Run Time : 0.38
INFO:root:2019-05-05 02:11:12, flip : NONE, rotate : NONE, batch : 99/26344, Run Time : 0.40
INFO:root:2019-05-05 02:11:13, flip : NONE, rotate : NONE, batch : 100/26344, Run Time : 0.40
INFO:root:2019-05-05 02:11:14, flip : NONE, rotate : NONE, batch : 101/26344, Run Time : 0.97
INFO:root:2019-05-05 02:11:14, flip : NONE, rotate : NONE, batch : 102/26344, Run Time : 0.37
INFO:root:2019-05-05 02:11:14, flip : NONE, rotate : NONE, batch : 103/26344, Run Time : 0.41
INFO:root:2019-05-05 02:11:15, flip : NONE, rotate : NONE, batch : 104/26344, Run Time : 0.39
INFO:root:2019-05-05 02:11:15, flip : NONE, rotate : NONE, batch : 105/26344, Run Time : 0.39
INFO:root:2019-05-05 02:11:17, flip : NONE, rotate : NONE, batch : 106/26344, Run Time : 1.75
INFO:root:2019-05-05 02:11:17, flip : NONE, rotate : NONE, batch : 107/26344, Run Time : 0.42
INFO:root:2019-05-05 02:11:18, flip : NONE, rotate : NONE, batch : 108/26344, Run Time : 0.36
INFO:root:2019-05-05 02:11:18, flip : NONE, rotate : NONE, batch : 109/26344, Run Time : 0.39
INFO:root:2019-05-05 02:11:18, flip : NONE, rotate : NONE, batch : 110/26344, Run Time : 0.38
INFO:root:2019-05-05 02:11:23, flip : NONE, rotate : NONE, batch : 111/26344, Run Time : 4.17
INFO:root:2019-05-05 02:11:23, flip : NONE, rotate : NONE, batch : 112/26344, Run Time : 0.34
